"mgCO2.7"	"mgCO2.14"	"difference"
"OWW10"	0.48	0.615	-0.135
"OWW11"	0.22	0.3575	-0.1375
"OWW12"	0.16	0.3425	-0.1825
"OWW13"	0.2525	0.4475	-0.195
"OWW14"	0.1325	0.29	-0.1575
"OWW15"	0.215	0.3725	-0.1575
"OWW16"	0.2225	0.52	-0.2975
"PH01"	0.225	0.455	-0.23
"PH02"	0.1575	0.42	-0.2625
"PH03"	0.1475	0.4625	-0.315
"PH04"	0.2675	0.3025	-0.035
"PH05"	0.2675	0.3425	-0.075
"PH06"	0.2025	0.355	-0.1525
"PH07"	0.145	0.2925	-0.1475
"PH08"	0.1325	0.3175	-0.185
"PH09"	0.13	0.44	-0.31
"PH10"	0.1525	0.3475	-0.195
"PH11"	0.185	0.32	-0.135
"PH12"	0.1525	0.3375	-0.185
"PH13"	0.14	0.305	-0.165
"PH14"	0.135	0.33	-0.195
"PH15"	0.125	0.3025	-0.1775
"PH16"	0.1075	0.3025	-0.195
"PH17"	0.0975	0.2425	-0.145
"PH18"	0.1	0.2575	-0.1575
"PH19"	0.1025	0.275	-0.1725
"PH20"	0.1025	0.1775	-0.075
"PH21"	0.0975	0.155	-0.0575
"PH22"	0.1125	0.16	-0.0475
"PH23"	0.1	0.1575	-0.0575
"PH24"	0.085	0.1475	-0.0625
"RDM01"	0.05	0.0533333333333333	-0.00333333333333333
"SAC01"	0.11	0.1675	-0.0575
"SAC02"	0.1625	0.25	-0.0875
"SAC03"	0.2025	0.2125	-0.01
"SAC04"	0.2275	0.2825	-0.055
"SAC05"	0.1725	0.1875	-0.015
"SAC06"	0.1775	0.235	-0.0575
"SAC07"	0.145	0.1475	-0.00249999999999997
"SAC08"	0.19	0.275	-0.085
"SAC09"	0.0775	0.1025	-0.025
"SAC10"	0.135	0.1675	-0.0325
"SAC11"	0.21	0.165	0.045
"SAC12"	0.1825	0.2125	-0.03
"SAC13"	0.15	0.1875	-0.0375
"SAC14"	0.18	0.19	-0.01
"SAC15"	0.1275	0.1625	-0.035
"SAC16"	0.1825	0.2275	-0.045
"SNG01"	0.305	0.3775	-0.0725
"SNG02"	0.3225	0.345	-0.0225
"SP01"	0.06	0.0833333333333333	-0.0233333333333333
"SP02"	0.106666666666667	0.163333333333333	-0.0566666666666667
"SP03"	0.15	0.243333333333333	-0.0933333333333334
"SP04"	0.12	0.206666666666667	-0.0866666666666667
"SP05"	0.13	0.223333333333333	-0.0933333333333333
"SP06"	0.06	0.116666666666667	-0.0566666666666667
"SP07"	0.146666666666667	0.2	-0.0533333333333333
"SP08"	0.123333333333333	0.123333333333333	0
"SP09"	0.176666666666667	0.23	-0.0533333333333333
"SP10"	0.31	0.35	-0.04
"SP11"	0.39	0.5475	-0.1575
"SP12"	0.3075	0.44	-0.1325
"SP13"	0.3075	0.505	-0.1975
"SP14"	0.295	0.4575	-0.1625
"SP15"	0.3075	0.5	-0.1925
"SP16"	0.2025	0.3725	-0.17
"SP17"	0.2075	0.41	-0.2025
"WEL01"	0.1325	0.3625	-0.23
"WEL02"	0.2625	0.3175	-0.055
"WEL03"	0.16	0.37	-0.21
"WEL04"	0.1775	0.375	-0.1975
"WEL05"	0.16	0.36	-0.2
"WEL06"	0.1475	0.33	-0.1825
"WEL07"	0.17	0.285	-0.115
"WEL08"	0.1575	0.3775	-0.22
"WEL09"	0.1075	0.365	-0.2575
"WEL10"	0.1375	0.4825	-0.345
"WEL11"	0.1475	0.41	-0.2625
"WEL12"	0.17	0.26	-0.09
"WEL13"	0.2	0.3025	-0.1025
"WEL14"	0.175	0.35	-0.175
"WEL15"	0.1375	0.34	-0.2025
"WEL16"	0.1275	0.3275	-0.2
"WEL17"	0.1125	0.37	-0.2575
"WEL18"	0.2025	0.3375	-0.135
"WEL19"	0.1525	0.35	-0.1975
"WEL20"	0.1475	0.3425	-0.195
"WEL21"	0.125	0.36	-0.235
"WEL22"	0.1475	0.35	-0.2025
"WEL23"	0.1375	0.3	-0.1625
"WEL24"	0.1225	0.315	-0.1925
"WEL25"	0.23	0.455	-0.225
"WEL26"	0.1975	0.345	-0.1475
"WF01"	0.1925	0.265	-0.0725
"WF02"	0.3375	0.465	-0.1275
"WF03"	0.2525	0.385	-0.1325
"WF04"	0.23	0.42	-0.19
"WF05"	0.1975	0.375	-0.1775
"WF06"	0.21	0.365	-0.155
"WF07"	0.1975	0.3475	-0.15
"WGP01"	0.035	0.175	-0.14
"WGP02"	0.06	0.2425	-0.1825
"WGP03"	0.0325	0.26	-0.2275
"WGP04"	0.0675	0.2225	-0.155
"WGP05"	0.06	0.2375	-0.1775
"WGP06"	0.0625	0.1875	-0.125
"WGP07"	0.0475	0.215	-0.1675
"WGP08"	0.065	0.14	-0.075
"WGP09"	0.0675	0.3025	-0.235
"WGP10"	0.13	0.3175	-0.1875
"WGP11"	0.0575	0.3075	-0.25
"WGP12"	0.1275	0.355	-0.2275
"WGP13"	0.135	0.325	-0.19
"WGP14"	0.203333333333333	0.32	-0.116666666666667
"WGP15"	0.176666666666667	0.31	-0.133333333333333
"WGP16"	0.0866666666666667	0.226666666666667	-0.14
"WGP17"	0.1125	0.25	-0.1375
"WGP18"	0.135	0.2425	-0.1075
"WGP19"	0.215	0.35	-0.135
"WGP20"	0.085	0.3275	-0.2425
"WiW01"	0.2925	0.3125	-0.02
"WiW02"	0.43	0.55	-0.12
"WiW03"	0.535	0.6175	-0.0824999999999999
"WiW04"	0.465	0.515	-0.05
"WiW05"	0.465	0.5375	-0.0725
"WiW06"	0.3075	0.315	-0.00750000000000001
"WiW07"	0.2825	0.3225	-0.04
"WiW08"	0.2925	0.3175	-0.025
"WiW09"	0.3275	0.315	0.0125
"WiW10"	0.37	0.4325	-0.0625
"WiW11"	0.4	0.4425	-0.0425
"WiW12"	0.41	0.455	-0.045
"WiW13"	0.395	0.445	-0.05
"WiW14"	0.36	0.415	-0.055
"WiW15"	0.35	0.4275	-0.0775
"WiW16"	0.285	0.275	0.00999999999999995
"WiW17"	0.23	0.2625	-0.0325
"WiW18"	0.235	0.2675	-0.0325
"WiW19"	0.45	0.51	-0.0600000000000001
"WiW20"	0.3025	0.385	-0.0825
