"Group.1"	"x"
"537"	"WiW29"	0.4925
"538"	"WiW30"	0.3
"539"	"WiW31"	0.37
"540"	"WiW32"	0.265
"541"	"WiW33"	0.27
"542"	"WiW34"	0.2725
"543"	"WiW35"	0.3175
"544"	"WiW36"	0.3525
"545"	"WiW37"	0.3975
"546"	"WiW38"	0.3025
"547"	"WiW39"	0.35
"548"	"WiW40"	0.255
"549"	"WiW41"	0.2475
"550"	"WiW42"	0.34
"551"	"WiW43"	0.3425
"552"	"WiW44"	0.28
"553"	"WiW45"	0.35
"554"	"WiW46"	0.3225
"555"	"WiW47"	0.33
"556"	"WiW48"	0.3225
"557"	"WiW49"	0.22
"558"	"WiW50"	0.2875
"559"	"WiW51"	0.33
"560"	"WiW52"	0.31
"561"	"WiW53"	0.23
"562"	"WiW54"	0.3475
"563"	"WiW55"	0.3475
"564"	"WiW56"	0.2525
"565"	"WiW57"	0.2625
"566"	"WP01"	0.245
"567"	"WP02"	0.2275
"568"	"WP03"	0.41
"569"	"WP04"	0.2725
"570"	"WP05"	0.305
"571"	"WP06"	0.2975
"572"	"WP07"	0.28
"573"	"WP08"	0.1475
"574"	"WP09"	0.195
"575"	"WP10"	0.345
"576"	"WP11"	0.3625
"577"	"WP12"	0.1875
"578"	"WP13"	0.1925
"579"	"WP14"	0.26
"580"	"WP15"	0.1625
"581"	"WP16"	0.12
"582"	"WYC01"	0.553333333333333
"583"	"WYC02"	0.556666666666667
"584"	"WYC03"	0.303333333333333
"585"	"WYC04"	0.556666666666667
"586"	"WYC05"	0.346666666666667
"587"	"WYC06"	0.333333333333333
"588"	"WYC07"	0.43
"589"	"WYC08"	0.276666666666667
"590"	"WYC09"	0.553333333333333
"591"	"WYC10"	0.49
"592"	"WYC11"	0.33
"593"	"WYC12"	0.346666666666667
"594"	"WYC13"	0.516666666666667
"595"	"WYC14"	0.13
"596"	"WYC15"	0.0966666666666667
"597"	"WYC16"	0.25
"598"	"WYC17"	0.266666666666667
"599"	"WYC18"	0.38
"600"	"WYC19"	0.3
"601"	"WYC20"	0.316666666666667
"602"	"WYC21"	0.426666666666667
"603"	"WYC22"	0.273333333333333
"604"	"WYC23"	0.283333333333333
"605"	"WYC24"	0.5
"606"	"WYC25"	0.426666666666667
"607"	"WYC26"	0.333333333333333
"608"	"WYC27"	0.35
"609"	"WYC28"	0.0966666666666667
"610"	"WYC29"	0.28
"611"	"WYC30"	0.413333333333333
"612"	"WYC31"	0.283333333333333
"613"	"WYC32"	0.106666666666667
"614"	"WYC33"	0.12
"615"	"WYC34"	0.293333333333333
"616"	"WYC35"	0.16
"617"	"WYC36"	0.0766666666666667
"618"	"WYC37"	0.193333333333333
"619"	"WYC38"	0.323333333333333
"620"	"WYC39"	0.236666666666667
"621"	"WYC40"	0.356666666666667
"622"	"WYC41"	0.123333333333333
"623"	"WYC42"	0.0666666666666667
"624"	"WYC43"	0.203333333333333
"625"	"WYD01"	0.5525
"626"	"WYD02"	0.5175
"627"	"WYD03"	0.55
"628"	"WYD04"	0.4225
"629"	"WYD05"	0.3825
"630"	"WYD06"	0.113333333333333
"631"	"WYD07"	0.4775
"632"	"WYD08"	0.3775
"633"	"WYD09"	0.2
"634"	"WYD10"	0.4075
"635"	"WYD11"	0.4675
"636"	"WYD12"	0.36
"637"	"WYM01"	0.373333333333333
"638"	"WYM02"	0.23
"639"	"WYM03"	0.37
"640"	"WYM04"	0.256666666666667
"641"	"WYM05"	0.423333333333333
"642"	"WYM06"	0.37
"643"	"WYM07"	0.386666666666667
"644"	"WYM08"	0.526666666666667
"645"	"WYM09"	0.466666666666667
"646"	"WYM10"	0.416666666666667
"647"	"WYM11"	0.37
"648"	"WYM12"	0.363333333333333
"649"	"WYM13"	0.403333333333333
"650"	"WYM14"	0.39
"651"	"WYM15"	0.55
"652"	"WYM16"	0.4
"653"	"WYM17"	0.47
"654"	"WYM18"	0.406666666666667
"655"	"WYM19"	0.783333333333333
"656"	"WYM20"	0.516666666666667
"657"	"WYM21"	0.156666666666667
"658"	"WYM22"	0.163333333333333
"659"	"WYM23"	0.47
"660"	"WYM24"	0.406666666666667
"661"	"WYM25"	0.176666666666667
"662"	"WYM26"	0.426666666666667
"663"	"WYM27"	0.216666666666667
"664"	"WYM28"	0.366666666666667
"665"	"WYM29"	0.136666666666667
"666"	"WYM30"	0.46
"667"	"WYM31"	0.443333333333333
"668"	"WYM32"	0.456666666666667
"669"	"WYM33"	0.163333333333333
"670"	"WYM34"	0.666666666666667
"671"	"WYM35"	0.346666666666667
"672"	"WYM36"	0.51
"673"	"WYM37"	0.433333333333333
"674"	"WYM38"	0.34
"675"	"WYM39"	0.126666666666667
"676"	"WYM40"	0.46
"677"	"WYM41"	0.523333333333333
"678"	"WYM42"	0.463333333333333
"679"	"WYM43"	0.5
"680"	"WYM44"	0.48
"681"	"WYT01"	0.22
"682"	"WYT02"	0.22
"683"	"WYT03"	0.1975
"684"	"WYT04"	0.24
"685"	"WYT05"	0.2375
"686"	"WYT06"	0.1975
"687"	"WYT07"	0.245
"688"	"WYT08"	0.315
"689"	"WYT09"	0.225
"690"	"WYT10"	0.31
"691"	"WYT100"	0.3975
"692"	"WYT101"	0.4275
"693"	"WYT102"	0.455
"694"	"WYT103"	0.55
"695"	"WYT104"	0.45
"696"	"WYT105"	0.5075
"697"	"WYT106"	0.4675
"698"	"WYT107"	0.39
"699"	"WYT108"	0.305
"700"	"WYT109"	0.375
"701"	"WYT11"	0.2
"702"	"WYT110"	0.5075
"703"	"WYT111"	0.44
"704"	"WYT112"	0.55
"705"	"WYT113"	0.365
"706"	"WYT114"	0.4475
"707"	"WYT115"	0.4025
"708"	"WYT116"	0.134
"709"	"WYT12"	0.123333333333333
"710"	"WYT13"	0.2725
"711"	"WYT14"	0.175
"712"	"WYT15"	0.165
"713"	"WYT16"	0.235
"714"	"WYT17"	0.21
"715"	"WYT18"	0.3
"716"	"WYT19"	0.18
"717"	"WYT20"	0.2525
"718"	"WYT21"	0.2425
"719"	"WYT22"	0.1825
"720"	"WYT23"	0.2
"721"	"WYT24"	0.33
"722"	"WYT25"	0.2325
"723"	"WYT26"	0.195
"724"	"WYT27"	0.29
"725"	"WYT28"	0.2125
"726"	"WYT29"	0.26
"727"	"WYT30"	0.1575
"728"	"WYT31"	0.205
"729"	"WYT32"	0.14
"730"	"WYT33"	0.2225
"731"	"WYT34"	0.205
"732"	"WYT35"	0.206666666666667
"733"	"WYT36"	0.1875
"734"	"WYT37"	0.2325
"735"	"WYT38"	0.2225
"736"	"WYT39"	0.2425
"737"	"WYT40"	0.28
"738"	"WYT41"	0.2675
"739"	"WYT42"	0.2375
"740"	"WYT43"	0.2675
"741"	"WYT44"	0.245
"742"	"WYT45"	0.2375
"743"	"WYT46"	0.1725
"744"	"WYT47"	0.15
"745"	"WYT48"	0.18
"746"	"WYT49"	0.2325
"747"	"WYT50"	0.1875
"748"	"WYT51"	0.205
"749"	"WYT52"	0.215
"750"	"WYT53"	0.1775
"751"	"WYT54"	0.175
"752"	"WYT55"	0.23
"753"	"WYT56"	0.23
"754"	"WYT57"	0.1775
"755"	"WYT58"	0.45
"756"	"WYT59"	0.22
"757"	"WYT60"	0.225
"758"	"WYT61"	0.2225
"759"	"WYT62"	0.1975
"760"	"WYT63"	0.126666666666667
"761"	"WYT64"	0.3225
"762"	"WYT65"	0.125
"763"	"WYT66"	0.27
"764"	"WYT67"	0.43
"765"	"WYT68"	0.515
"766"	"WYT69"	0.4475
"767"	"WYT70"	0.6075
"768"	"WYT71"	0.45
"769"	"WYT72"	0.5575
"770"	"WYT73"	0.5325
"771"	"WYT74"	0.5925
"772"	"WYT75"	0.5
"773"	"WYT76"	0.505
"774"	"WYT77"	0.48
"775"	"WYT78"	0.55
"776"	"WYT79"	0.4725
"777"	"WYT80"	0.6925
"778"	"WYT81"	0.5325
"779"	"WYT82"	0.5975
"780"	"WYT83"	0.5625
"781"	"WYT84"	0.5175
"782"	"WYT85"	0.4625
"783"	"WYT86"	0.445
"784"	"WYT87"	0.17
"785"	"WYT88"	0.52
"786"	"WYT89"	0.385
"787"	"WYT90"	0.53
"788"	"WYT91"	0.55
"789"	"WYT92"	0.545
"790"	"WYT93"	0.45
"791"	"WYT94"	0.0966666666666667
"792"	"WYT95"	0.06
"793"	"WYT96"	0.4425
"794"	"WYT97"	0.465
"795"	"WYT98"	0.163333333333333
"796"	"WYT99"	0.4925
